"filename", "language", "JSON", "JavaScript", "Markdown", "Docker", "HTML", "comment", "blank", "total"
"c:\Users\TBG\Documents\wappy\server\Dockerfile", "Docker", 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\TBG\Documents\wappy\server\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\TBG\Documents\wappy\server\controllers\adminControllers.js", "JavaScript", 0, 163, 0, 0, 0, 2, 39, 204
"c:\Users\TBG\Documents\wappy\server\controllers\apiControllers.js", "JavaScript", 0, 293, 0, 0, 0, 0, 83, 376
"c:\Users\TBG\Documents\wappy\server\controllers\authControllers.js", "JavaScript", 0, 131, 0, 0, 0, 0, 31, 162
"c:\Users\TBG\Documents\wappy\server\controllers\confirmEmailControllers.js", "JavaScript", 0, 147, 0, 0, 0, 0, 20, 167
"c:\Users\TBG\Documents\wappy\server\controllers\favoriteControllers.js", "JavaScript", 0, 72, 0, 0, 0, 0, 15, 87
"c:\Users\TBG\Documents\wappy\server\controllers\histrotyLoadControllers.js", "JavaScript", 0, 43, 0, 0, 0, 0, 7, 50
"c:\Users\TBG\Documents\wappy\server\controllers\profileControllers.js", "JavaScript", 0, 84, 0, 0, 0, 0, 18, 102
"c:\Users\TBG\Documents\wappy\server\controllers\util.js", "JavaScript", 0, 173, 0, 0, 0, 0, 23, 196
"c:\Users\TBG\Documents\wappy\server\index.js", "JavaScript", 0, 212, 0, 0, 0, 15, 48, 275
"c:\Users\TBG\Documents\wappy\server\logsControllers\logger.js", "JavaScript", 0, 48, 0, 0, 0, 0, 9, 57
"c:\Users\TBG\Documents\wappy\server\logsControllers\metrickRoute.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\TBG\Documents\wappy\server\logsControllers\metricks.js", "JavaScript", 0, 33, 0, 0, 0, 0, 8, 41
"c:\Users\TBG\Documents\wappy\server\logsControllers\metricksMiddleware.js", "JavaScript", 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\TBG\Documents\wappy\server\mail\send-mail.js", "JavaScript", 0, 30, 0, 0, 0, 0, 7, 37
"c:\Users\TBG\Documents\wappy\server\mail\templates\mail.html", "HTML", 0, 0, 0, 0, 96, 0, 7, 103
"c:\Users\TBG\Documents\wappy\server\package-lock.json", "JSON", 6086, 0, 0, 0, 0, 0, 1, 6087
"c:\Users\TBG\Documents\wappy\server\package.json", "JSON", 49, 0, 0, 0, 0, 0, 1, 50
"c:\Users\TBG\Documents\wappy\server\schemas\User.js", "JavaScript", 0, 28, 0, 0, 0, 0, 3, 31
"Total", "-", 6135, 1484, 7, 7, 96, 17, 332, 8078
