"filename", "language", "JSON", "Markdown", "JavaScript", "Docker", "HTML", "comment", "blank", "total"
"c:\Users\TBG\Documents\wappy\server\Dockerfile", "Docker", 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\TBG\Documents\wappy\server\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\TBG\Documents\wappy\server\controllers\adminControllers.js", "JavaScript", 0, 0, 163, 0, 0, 32, 40, 235
"c:\Users\TBG\Documents\wappy\server\controllers\apiControllers.js", "JavaScript", 0, 0, 293, 0, 0, 58, 84, 435
"c:\Users\TBG\Documents\wappy\server\controllers\authControllers.js", "JavaScript", 0, 0, 131, 0, 0, 33, 32, 196
"c:\Users\TBG\Documents\wappy\server\controllers\confirmEmailControllers.js", "JavaScript", 0, 0, 147, 0, 0, 28, 21, 196
"c:\Users\TBG\Documents\wappy\server\controllers\favoriteControllers.js", "JavaScript", 0, 0, 72, 0, 0, 27, 16, 115
"c:\Users\TBG\Documents\wappy\server\controllers\histrotyLoadControllers.js", "JavaScript", 0, 0, 43, 0, 0, 31, 8, 82
"c:\Users\TBG\Documents\wappy\server\controllers\profileControllers.js", "JavaScript", 0, 0, 84, 0, 0, 28, 19, 131
"c:\Users\TBG\Documents\wappy\server\controllers\util.js", "JavaScript", 0, 0, 173, 0, 0, 34, 24, 231
"c:\Users\TBG\Documents\wappy\server\index.js", "JavaScript", 0, 0, 138, 0, 0, 39, 35, 212
"c:\Users\TBG\Documents\wappy\server\logsControllers\logger.js", "JavaScript", 0, 0, 48, 0, 0, 27, 10, 85
"c:\Users\TBG\Documents\wappy\server\logsControllers\metrickRoute.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\TBG\Documents\wappy\server\logsControllers\metricks.js", "JavaScript", 0, 0, 33, 0, 0, 28, 9, 70
"c:\Users\TBG\Documents\wappy\server\logsControllers\metricksMiddleware.js", "JavaScript", 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\TBG\Documents\wappy\server\mail\send-mail.js", "JavaScript", 0, 0, 30, 0, 0, 24, 8, 62
"c:\Users\TBG\Documents\wappy\server\mail\templates\mail.html", "HTML", 0, 0, 0, 0, 96, 25, 8, 129
"c:\Users\TBG\Documents\wappy\server\package-lock.json", "JSON", 6086, 0, 0, 0, 0, 0, 1, 6087
"c:\Users\TBG\Documents\wappy\server\package.json", "JSON", 49, 0, 0, 0, 0, 0, 1, 50
"c:\Users\TBG\Documents\wappy\server\schemas\User.js", "JavaScript", 0, 0, 28, 0, 0, 28, 4, 60
"Total", "-", 6135, 7, 1410, 7, 96, 442, 332, 8429
